Running simulation: 3 nodes, scenario 1b.
0.200016 1 0 0.200016 1.6e-05 0.2 0.0
0.200024 2 0 0.200024 1.6e-05 0.2 8e-06
0.200032 3 0 0.200032 1.6e-05 0.2 1.6e-05
0.20004 4 0 0.20004 1.6e-05 0.2 2.4e-05
0.200048 5 0 0.200048 1.6e-05 0.2 3.2e-05
0.200056 6 0 0.200056 1.6e-05 0.2 4e-05
0.200064 7 0 0.200064 1.6e-05 0.2 4.8e-05
0.200072 8 0 0.200072 1.6e-05 0.2 5.6e-05
0.20008 9 0 0.20008 1.6e-05 0.2 6.4e-05
0.200088 10 0 0.200088 1.6e-05 0.2 7.2e-05
0.200096 11 0 0.200096 1.6e-05 0.2 8e-05
0.200104 12 0 0.200104 1.6e-05 0.2 8.8e-05
0.200112 13 0 0.200112 1.6e-05 0.2 9.6e-05
0.20012 14 0 0.20012 1.6e-05 0.2 0.000104
0.200128 15 0 0.200128 1.6e-05 0.2 0.000112
0.200136 16 0 0.200136 1.6e-05 0.2 0.00012
0.200144 17 0 0.200144 1.6e-05 0.2 0.000128
0.200152 18 0 0.200152 1.6e-05 0.2 0.000136
0.20016 19 0 0.20016 1.6e-05 0.2 0.000144
0.200168 20 0 0.200168 1.6e-05 0.2 0.000152
0.200176 21 0 0.200176 1.6e-05 0.2 0.00016
0.200184 22 0 0.200184 1.6e-05 0.2 0.000168
0.200192 23 0 0.200192 1.6e-05 0.2 0.000176
0.2002 24 0 0.2002 1.6e-05 0.2 0.000184
0.200208 25 0 0.200208 1.6e-05 0.2 0.000192
0.200216 26 0 0.200216 1.6e-05 0.2 0.0002
0.200224 27 0 0.200224 1.6e-05 0.2 0.000208
0.200232 28 0 0.200232 1.6e-05 0.2 0.000216
0.20024 29 0 0.20024 1.6e-05 0.2 0.000224
0.200248 30 0 0.200248 1.6e-05 0.2 0.000232
0.200256 31 0 0.200256 1.6e-05 0.2 0.00024
0.200264 32 0 0.200264 1.6e-05 0.2 0.000248
0.200272 33 0 0.200272 1.6e-05 0.2 0.000256
0.20028 34 0 0.20028 1.6e-05 0.2 0.000264
0.200288 35 0 0.200288 1.6e-05 0.2 0.000272
0.200296 36 0 0.200296 1.6e-05 0.2 0.00028
0.200304 37 0 0.200304 1.6e-05 0.2 0.000288
