Running simulation: 3 nodes, scenario 2.
0.23925 1 0 0.23925 0.03925 0.2 0.0
0.2705 2 0 0.2705 0.03925 0.2 0.03125
0.30175 3 0 0.30175 0.03925 0.2 0.0625
0.333 4 0 0.333 0.03925 0.2 0.09375
0.36425 5 0 0.36425 0.03925 0.2 0.125
0.3955 6 0 0.3955 0.03925 0.2 0.15625
0.42675 7 0 0.42675 0.03925 0.2 0.1875
0.458 8 0 0.458 0.03925 0.2 0.21875
0.48925 9 0 0.48925 0.03925 0.2 0.25
0.5205 10 0 0.5205 0.03925 0.2 0.28125
0.55175 11 0 0.55175 0.03925 0.2 0.3125
0.583 12 0 0.583 0.03925 0.2 0.34375
0.61425 13 0 0.61425 0.03925 0.2 0.375
0.6455 14 0 0.6455 0.03925 0.2 0.40625
0.67675 15 0 0.67675 0.03925 0.2 0.4375
0.708 16 0 0.708 0.03925 0.2 0.46875
0.73925 17 0 0.73925 0.03925 0.2 0.5
0.7705 18 0 0.7705 0.03925 0.2 0.53125
0.80175 19 0 0.80175 0.03925 0.2 0.5625
0.833 20 0 0.833 0.03925 0.2 0.59375
0.86425 21 0 0.86425 0.03925 0.2 0.625
0.8955 22 0 0.8955 0.03925 0.2 0.65625
0.92675 23 0 0.92675 0.03925 0.2 0.6875
0.958 24 0 0.958 0.03925 0.2 0.71875
0.98925 25 0 0.98925 0.03925 0.2 0.75
1.0205 26 0 1.0205 0.03925 0.2 0.78125
1.05175 27 0 1.05175 0.03925 0.2 0.8125
1.083 28 0 1.083 0.03925 0.2 0.84375
1.11425 29 0 1.11425 0.03925 0.2 0.875
1.1455 30 0 1.1455 0.03925 0.2 0.90625
1.17675 31 0 1.17675 0.03925 0.2 0.9375
1.208 32 0 1.208 0.03925 0.2 0.96875
1.23925 33 0 1.23925 0.03925 0.2 1.0
1.2705 34 0 1.2705 0.03925 0.2 1.03125
1.30175 35 0 1.30175 0.03925 0.2 1.0625
1.333 36 0 1.333 0.03925 0.2 1.09375
1.36425 37 0 1.36425 0.03925 0.2 1.125
1.3955 38 0 1.3955 0.03925 0.2 1.15625
1.42675 39 0 1.42675 0.03925 0.2 1.1875
1.458 40 0 1.458 0.03925 0.2 1.21875
1.48925 41 0 1.48925 0.03925 0.2 1.25
1.5205 42 0 1.5205 0.03925 0.2 1.28125
1.55175 43 0 1.55175 0.03925 0.2 1.3125
1.583 44 0 1.583 0.03925 0.2 1.34375
1.61425 45 0 1.61425 0.03925 0.2 1.375
1.6455 46 0 1.6455 0.03925 0.2 1.40625
1.67675 47 0 1.67675 0.03925 0.2 1.4375
1.708 48 0 1.708 0.03925 0.2 1.46875
1.73925 49 0 1.73925 0.03925 0.2 1.5
1.7705 50 0 1.7705 0.03925 0.2 1.53125
1.80175 51 0 1.80175 0.03925 0.2 1.5625
1.833 52 0 1.833 0.03925 0.2 1.59375
1.86425 53 0 1.86425 0.03925 0.2 1.625
1.8955 54 0 1.8955 0.03925 0.2 1.65625
1.92675 55 0 1.92675 0.03925 0.2 1.6875
1.958 56 0 1.958 0.03925 0.2 1.71875
1.98925 57 0 1.98925 0.03925 0.2 1.75
2.0205 58 0 2.0205 0.03925 0.2 1.78125
2.05175 59 0 2.05175 0.03925 0.2 1.8125
2.083 60 0 2.083 0.03925 0.2 1.84375
2.11425 61 0 2.11425 0.03925 0.2 1.875
2.1455 62 0 2.1455 0.03925 0.2 1.90625
2.17675 63 0 2.17675 0.03925 0.2 1.9375
2.208 64 0 2.208 0.03925 0.2 1.96875
2.23925 65 0 2.23925 0.03925 0.2 2.0
2.2705 66 0 2.2705 0.03925 0.2 2.03125
2.30175 67 0 2.30175 0.03925 0.2 2.0625
