Running simulation: 3 nodes, scenario 1a.
0.216 1 0 0.216 0.016 0.2 0.0
0.224 2 0 0.224 0.016 0.2 0.008
0.232 3 0 0.232 0.016 0.2 0.016
0.24 4 0 0.24 0.016 0.2 0.024
0.248 5 0 0.248 0.016 0.2 0.032
0.256 6 0 0.256 0.016 0.2 0.04
0.264 7 0 0.264 0.016 0.2 0.048
0.272 8 0 0.272 0.016 0.2 0.056
0.28 9 0 0.28 0.016 0.2 0.064
0.288 10 0 0.288 0.016 0.2 0.072
0.296 11 0 0.296 0.016 0.2 0.08
0.304 12 0 0.304 0.016 0.2 0.088
0.312 13 0 0.312 0.016 0.2 0.096
0.32 14 0 0.32 0.016 0.2 0.104
0.328 15 0 0.328 0.016 0.2 0.112
0.336 16 0 0.336 0.016 0.2 0.12
0.344 17 0 0.344 0.016 0.2 0.128
0.352 18 0 0.352 0.016 0.2 0.136
0.36 19 0 0.36 0.016 0.2 0.144
0.368 20 0 0.368 0.016 0.2 0.152
0.376 21 0 0.376 0.016 0.2 0.16
0.384 22 0 0.384 0.016 0.2 0.168
0.392 23 0 0.392 0.016 0.2 0.176
0.4 24 0 0.4 0.016 0.2 0.184
0.408 25 0 0.408 0.016 0.2 0.192
0.416 26 0 0.416 0.016 0.2 0.2
0.424 27 0 0.424 0.016 0.2 0.208
0.432 28 0 0.432 0.016 0.2 0.216
0.44 29 0 0.44 0.016 0.2 0.224
0.448 30 0 0.448 0.016 0.2 0.232
0.456 31 0 0.456 0.016 0.2 0.24
0.464 32 0 0.464 0.016 0.2 0.248
0.472 33 0 0.472 0.016 0.2 0.256
0.48 34 0 0.48 0.016 0.2 0.264
0.488 35 0 0.488 0.016 0.2 0.272
0.496 36 0 0.496 0.016 0.2 0.28
0.504 37 0 0.504 0.016 0.2 0.288
0.512 38 0 0.512 0.016 0.2 0.296
0.52 39 0 0.52 0.016 0.2 0.304
0.528 40 0 0.528 0.016 0.2 0.312
0.536 41 0 0.536 0.016 0.2 0.32
0.544 42 0 0.544 0.016 0.2 0.328
0.552 43 0 0.552 0.016 0.2 0.336
0.56 44 0 0.56 0.016 0.2 0.344
0.568 45 0 0.568 0.016 0.2 0.352
0.576 46 0 0.576 0.016 0.2 0.36
0.584 47 0 0.584 0.016 0.2 0.368
0.592 48 0 0.592 0.016 0.2 0.376
0.6 49 0 0.6 0.016 0.2 0.384
0.608 50 0 0.608 0.016 0.2 0.392
0.616 51 0 0.616 0.016 0.2 0.4
0.624 52 0 0.624 0.016 0.2 0.408
0.632 53 0 0.632 0.016 0.2 0.416
0.64 54 0 0.64 0.016 0.2 0.424
0.648 55 0 0.648 0.016 0.2 0.432
0.656 56 0 0.656 0.016 0.2 0.44
0.664 57 0 0.664 0.016 0.2 0.448
0.672 58 0 0.672 0.016 0.2 0.456
0.68 59 0 0.68 0.016 0.2 0.464
0.688 60 0 0.688 0.016 0.2 0.472
0.696 61 0 0.696 0.016 0.2 0.48
0.704 62 0 0.704 0.016 0.2 0.488
0.712 63 0 0.712 0.016 0.2 0.496
0.72 64 0 0.72 0.016 0.2 0.504
0.728 65 0 0.728 0.016 0.2 0.512
0.736 66 0 0.736 0.016 0.2 0.52
0.744 67 0 0.744 0.016 0.2 0.528
0.752 68 0 0.752 0.016 0.2 0.536
0.76 69 0 0.76 0.016 0.2 0.544
0.768 70 0 0.768 0.016 0.2 0.552
0.776 71 0 0.776 0.016 0.2 0.56
0.784 72 0 0.784 0.016 0.2 0.568
0.792 73 0 0.792 0.016 0.2 0.576
0.8 74 0 0.8 0.016 0.2 0.584
0.808 75 0 0.808 0.016 0.2 0.592
0.816 76 0 0.816 0.016 0.2 0.6
0.824 77 0 0.824 0.016 0.2 0.608
0.832 78 0 0.832 0.016 0.2 0.616
0.84 79 0 0.84 0.016 0.2 0.624
0.848 80 0 0.848 0.016 0.2 0.632
0.856 81 0 0.856 0.016 0.2 0.64
0.864 82 0 0.864 0.016 0.2 0.648
0.872 83 0 0.872 0.016 0.2 0.656
0.88 84 0 0.88 0.016 0.2 0.664
0.888 85 0 0.888 0.016 0.2 0.672
0.896 86 0 0.896 0.016 0.2 0.68
0.904 87 0 0.904 0.016 0.2 0.688
0.912 88 0 0.912 0.016 0.2 0.696
0.92 89 0 0.92 0.016 0.2 0.704
0.928 90 0 0.928 0.016 0.2 0.712
0.936 91 0 0.936 0.016 0.2 0.72
0.944 92 0 0.944 0.016 0.2 0.728
0.952 93 0 0.952 0.016 0.2 0.736
0.96 94 0 0.96 0.016 0.2 0.744
0.968 95 0 0.968 0.016 0.2 0.752
0.976 96 0 0.976 0.016 0.2 0.76
0.984 97 0 0.984 0.016 0.2 0.768
0.992 98 0 0.992 0.016 0.2 0.776
1.0 99 0 1.0 0.016 0.2 0.784
1.008 100 0 1.008 0.016 0.2 0.792
1.016 101 0 1.016 0.016 0.2 0.8
1.024 102 0 1.024 0.016 0.2 0.808
1.032 103 0 1.032 0.016 0.2 0.816
1.04 104 0 1.04 0.016 0.2 0.824
1.048 105 0 1.048 0.016 0.2 0.832
1.056 106 0 1.056 0.016 0.2 0.84
1.064 107 0 1.064 0.016 0.2 0.848
1.072 108 0 1.072 0.016 0.2 0.856
1.08 109 0 1.08 0.016 0.2 0.864
1.088 110 0 1.088 0.016 0.2 0.872
1.096 111 0 1.096 0.016 0.2 0.88
1.104 112 0 1.104 0.016 0.2 0.888
1.112 113 0 1.112 0.016 0.2 0.896
1.12 114 0 1.12 0.016 0.2 0.904
1.128 115 0 1.128 0.016 0.2 0.912
1.136 116 0 1.136 0.016 0.2 0.92
1.144 117 0 1.144 0.016 0.2 0.928
1.152 118 0 1.152 0.016 0.2 0.936
1.16 119 0 1.16 0.016 0.2 0.944
1.168 120 0 1.168 0.016 0.2 0.952
